LatentID,mean_sim_knn,median_sim_knn,min_sim_knn,max_sim_knn
layers.14_latent59715,0.60593176,0.60593176,0.60593176,0.60593176
layers.14_latent48663,0.73331636,0.73331636,0.73331636,0.73331636
layers.14_latent24795,0.25329775,0.25329775,0.25329775,0.25329775
layers.14_latent12408,0.42637688,0.42637688,0.42637688,0.42637688
layers.14_latent52557,0.46992448,0.46992448,0.46992448,0.46992448
layers.14_latent55546,0.5580958,0.5580958,0.5580958,0.5580958
layers.14_latent42648,0.7396991,0.7396991,0.7396991,0.7396991
layers.14_latent53017,0.5671633,0.5671633,0.5671633,0.5671633
layers.14_latent22663,0.5713863,0.5713863,0.5713863,0.5713863
layers.14_latent60347,0.6396235,0.6396235,0.6396235,0.6396235
layers.14_latent55155,0.31594557,0.31594557,0.31594557,0.31594557
layers.14_latent22544,0.804019,0.804019,0.804019,0.804019
layers.14_latent44431,0.5951713,0.5951713,0.5951713,0.5951713
layers.14_latent9609,0.55121565,0.55121565,0.55121565,0.55121565
layers.14_latent40041,0.29452556,0.29452556,0.29452556,0.29452556
layers.14_latent36877,0.5208012,0.5208012,0.5208012,0.5208012
layers.14_latent37626,0.50545883,0.50545883,0.50545883,0.50545883
layers.14_latent3383,0.61435866,0.61435866,0.61435866,0.61435866
layers.14_latent4677,0.79524624,0.79524624,0.79524624,0.79524624
layers.14_latent40300,0.55612004,0.55612004,0.55612004,0.55612004
layers.14_latent4719,0.42271596,0.42271596,0.42271596,0.42271596
layers.14_latent58430,0.26297987,0.26297987,0.26297987,0.26297987
layers.14_latent8363,0.60714215,0.60714215,0.60714215,0.60714215
layers.14_latent29962,0.46856502,0.46856502,0.46856502,0.46856502
layers.14_latent38560,0.42701864,0.42701864,0.42701864,0.42701864
layers.14_latent37315,0.6827155,0.6827155,0.6827155,0.6827155
layers.14_latent9947,0.7005882,0.7005882,0.7005882,0.7005882
layers.14_latent60929,0.3800793,0.3800793,0.3800793,0.3800793
layers.14_latent37511,0.5652288,0.5652288,0.5652288,0.5652288
layers.14_latent59128,0.62987614,0.62987614,0.62987614,0.62987614
layers.14_latent19290,0.6549827,0.6549827,0.6549827,0.6549827
layers.14_latent20345,0.57607424,0.57607424,0.57607424,0.57607424
layers.14_latent34788,0.35999563,0.35999563,0.35999563,0.35999563
layers.14_latent21147,0.67400366,0.67400366,0.67400366,0.67400366
layers.14_latent36563,0.6268165,0.6268165,0.6268165,0.6268165
layers.14_latent50767,0.4729763,0.4729763,0.4729763,0.4729763
layers.14_latent62117,0.7095748,0.7095748,0.7095748,0.7095748
layers.14_latent31800,0.2865008,0.2865008,0.2865008,0.2865008
layers.14_latent59237,0.4253736,0.4253736,0.4253736,0.4253736
layers.14_latent8050,0.49125382,0.49125382,0.49125382,0.49125382
layers.14_latent10655,0.74232745,0.74232745,0.74232745,0.74232745
layers.14_latent23216,0.56107056,0.56107056,0.56107056,0.56107056
layers.14_latent4955,0.3540491,0.3540491,0.3540491,0.3540491
layers.14_latent61494,0.25110242,0.25110242,0.25110242,0.25110242
layers.14_latent61930,0.4214421,0.4214421,0.4214421,0.4214421
layers.14_latent14649,0.4373872,0.4373872,0.4373872,0.4373872
layers.14_latent29640,0.72166723,0.72166723,0.72166723,0.72166723
layers.14_latent10684,0.5457834,0.5457834,0.5457834,0.5457834
layers.14_latent45988,0.42844066,0.42844066,0.42844066,0.42844066
layers.14_latent4502,0.74999225,0.74999225,0.74999225,0.74999225
layers.14_latent4293,0.51435965,0.51435965,0.51435965,0.51435965
layers.14_latent53290,0.78456086,0.78456086,0.78456086,0.78456086
layers.14_latent14535,0.52402675,0.52402675,0.52402675,0.52402675
layers.14_latent46387,0.6285327,0.6285327,0.6285327,0.6285327
layers.14_latent17396,0.47192413,0.47192413,0.47192413,0.47192413
layers.14_latent57975,0.2818203,0.2818203,0.2818203,0.2818203
