UMAP 1,UMAP 2,Latent ID
12.180201,10.476142,layers.14_latent191
9.323434,9.6098175,layers.14_latent192
10.867976,10.396716,layers.14_latent193
10.597539,8.364386,layers.14_latent194
9.545181,8.441109,layers.14_latent195
10.92056,12.974442,layers.14_latent196
11.22927,10.405034,layers.14_latent197
11.491666,12.0711,layers.14_latent198
11.431742,13.292072,layers.14_latent199
11.737425,11.839212,layers.14_latent200
11.78323,10.43117,layers.14_latent201
9.142403,9.839269,layers.14_latent202
9.863446,9.081158,layers.14_latent203
10.287565,9.0597925,layers.14_latent204
9.243707,10.3503,layers.14_latent205
10.384581,11.659825,layers.14_latent206
11.251998,11.904262,layers.14_latent207
11.783994,11.696323,layers.14_latent208
11.780388,8.256362,layers.14_latent209
9.800268,12.7677355,layers.14_latent210
9.951408,12.082441,layers.14_latent211
9.660855,13.137003,layers.14_latent212
9.997334,7.6913614,layers.14_latent213
9.249098,11.102063,layers.14_latent214
10.207081,8.202017,layers.14_latent216
10.595879,8.285579,layers.14_latent217
11.756212,12.037327,layers.14_latent218
9.734489,8.288585,layers.14_latent219
9.91273,13.58831,layers.14_latent220
11.441526,11.335732,layers.14_latent221
10.044558,7.631012,layers.14_latent222
8.932446,11.790803,layers.14_latent223
11.36554,11.518359,layers.14_latent224
10.247062,9.677567,layers.14_latent225
10.314069,10.023019,layers.14_latent226
11.264355,8.789838,layers.14_latent227
10.532298,9.3967,layers.14_latent228
8.474753,11.919862,layers.14_latent229
9.049477,10.574042,layers.14_latent230
11.790163,12.444747,layers.14_latent232
12.297232,12.304787,layers.14_latent233
9.523966,13.420248,layers.14_latent234
11.943282,8.386127,layers.14_latent235
10.028125,11.277427,layers.14_latent236
9.542751,13.147402,layers.14_latent238
11.236972,13.28451,layers.14_latent239
11.113987,11.910018,layers.14_latent240
9.100885,8.768857,layers.14_latent241
10.462139,9.275374,layers.14_latent242
8.2434025,12.240106,layers.14_latent243
10.233022,11.355733,layers.14_latent244
9.262998,10.775931,layers.14_latent245
9.530928,8.29587,layers.14_latent246
11.04863,9.676772,layers.14_latent247
11.658044,8.195821,layers.14_latent248
8.997064,11.102076,layers.14_latent249
9.083841,11.0942545,layers.14_latent250
9.512605,10.35395,layers.14_latent251
10.096163,7.747289,layers.14_latent252
9.498602,11.523769,layers.14_latent255
9.762336,10.563765,layers.14_latent256
8.504045,12.616631,layers.14_latent258
11.395314,13.2101145,layers.14_latent259
10.322292,7.596941,layers.14_latent260
9.84747,7.8194966,layers.14_latent263
9.464837,11.392436,layers.14_latent265
10.65073,10.12281,layers.14_latent266
11.830481,8.15332,layers.14_latent267
9.6275425,11.579576,layers.14_latent268
11.241442,12.813464,layers.14_latent270
11.613409,8.473773,layers.14_latent271
11.906488,12.195753,layers.14_latent272
11.962761,10.204361,layers.14_latent273
10.488308,9.7807865,layers.14_latent274
9.664696,11.502349,layers.14_latent276
11.632276,9.816228,layers.14_latent277
12.081044,10.778457,layers.14_latent278
7.9494386,11.802636,layers.14_latent279
11.589899,10.408752,layers.14_latent280
8.818859,10.802626,layers.14_latent281
10.136081,13.082047,layers.14_latent282
9.876702,9.378757,layers.14_latent283
9.169911,10.807698,layers.14_latent284
10.92128,8.365259,layers.14_latent285
9.760574,10.477775,layers.14_latent286
9.461833,9.847951,layers.14_latent287
11.670888,8.151958,layers.14_latent288
9.996575,8.575745,layers.14_latent289
11.872722,11.8862295,layers.14_latent290
9.393045,8.894307,layers.14_latent291
9.714159,8.003333,layers.14_latent293
11.2947855,11.378917,layers.14_latent294
8.867622,10.90297,layers.14_latent295
9.255586,12.775718,layers.14_latent296
11.256453,10.981699,layers.14_latent297
9.563898,10.258676,layers.14_latent298
7.7526402,11.958755,layers.14_latent299
8.843786,10.428531,layers.14_latent300
9.2343235,10.930647,layers.14_latent301
11.025529,9.587876,layers.14_latent302
9.167265,10.181413,layers.14_latent303
10.316807,12.644358,layers.14_latent304
10.827726,10.611286,layers.14_latent305
10.733108,11.4075985,layers.14_latent306
8.9593315,10.618203,layers.14_latent307
12.052673,11.1846285,layers.14_latent308
8.057216,11.750829,layers.14_latent309
11.943161,11.409291,layers.14_latent310
11.06972,9.381872,layers.14_latent311
12.242458,12.328672,layers.14_latent312
9.351473,10.2146,layers.14_latent313
10.716119,13.005025,layers.14_latent314
11.81605,11.6550045,layers.14_latent315
9.395407,10.523183,layers.14_latent317
11.909249,9.017007,layers.14_latent318
11.904082,12.009812,layers.14_latent319
10.321736,12.261127,layers.14_latent320
9.350684,10.9538965,layers.14_latent321
8.400542,9.417903,layers.14_latent322
9.651672,7.7506647,layers.14_latent323
11.974055,9.664745,layers.14_latent324
9.052621,11.169147,layers.14_latent325
11.478988,13.254983,layers.14_latent328
11.836282,12.083163,layers.14_latent329
12.005321,10.181065,layers.14_latent330
10.072121,8.2916155,layers.14_latent331
9.799022,7.4784465,layers.14_latent332
11.851421,9.325205,layers.14_latent333
9.637899,9.060568,layers.14_latent334
9.67778,11.230278,layers.14_latent335
11.078099,12.175623,layers.14_latent336
9.648033,8.223251,layers.14_latent338
11.322327,11.785994,layers.14_latent339
9.113387,10.816424,layers.14_latent340
8.58256,11.834553,layers.14_latent341
8.711572,11.664524,layers.14_latent342
9.590694,13.481569,layers.14_latent343
10.690318,13.511135,layers.14_latent346
9.754341,10.415088,layers.14_latent347
9.601522,11.14036,layers.14_latent348
8.347455,12.352735,layers.14_latent349
12.251584,12.099909,layers.14_latent350
11.577035,8.667543,layers.14_latent351
10.993254,9.734799,layers.14_latent352
11.778436,8.166681,layers.14_latent353
11.806347,10.967452,layers.14_latent354
8.690855,11.764652,layers.14_latent355
10.3791,8.329983,layers.14_latent356
9.781071,8.83844,layers.14_latent357
9.182586,11.414898,layers.14_latent358
9.388142,11.405607,layers.14_latent359
10.017958,12.650788,layers.14_latent360
10.007322,10.578325,layers.14_latent362
10.121185,8.895005,layers.14_latent363
9.886353,9.975248,layers.14_latent364
9.515489,11.383518,layers.14_latent365
9.387939,11.347235,layers.14_latent366
10.298856,9.728413,layers.14_latent367
10.419443,8.376078,layers.14_latent368
11.731762,11.55388,layers.14_latent369
10.327041,9.698443,layers.14_latent370
8.416499,11.825489,layers.14_latent371
9.335028,10.702002,layers.14_latent372
11.043011,11.352152,layers.14_latent374
9.552969,8.310893,layers.14_latent375
9.553606,13.459789,layers.14_latent376
9.202379,11.109216,layers.14_latent377
8.7571125,10.872073,layers.14_latent378
9.845109,9.704325,layers.14_latent380
7.559269,11.48979,layers.14_latent381
10.919142,11.438198,layers.14_latent382
11.734422,12.008218,layers.14_latent383
8.657246,11.517325,layers.14_latent384
11.689478,11.797005,layers.14_latent386
9.553338,10.816346,layers.14_latent387
9.200484,10.719074,layers.14_latent388
11.892091,11.944656,layers.14_latent389
9.704702,11.046046,layers.14_latent390
8.901236,10.824579,layers.14_latent391
10.428673,11.615806,layers.14_latent392
8.577025,11.4114,layers.14_latent393
11.331377,13.271034,layers.14_latent394
9.86825,8.268194,layers.14_latent396
12.110915,11.549105,layers.14_latent397
12.775239,11.264748,layers.14_latent398
8.972484,9.0147915,layers.14_latent399
9.467642,11.604535,layers.14_latent400
11.939637,12.362795,layers.14_latent401
9.348484,11.42857,layers.14_latent402
10.027513,9.042414,layers.14_latent403
10.601398,8.829866,layers.14_latent404
11.207358,11.24363,layers.14_latent405
11.510021,9.678647,layers.14_latent407
11.972551,12.106986,layers.14_latent408
8.733861,11.252575,layers.14_latent409
9.660964,8.02924,layers.14_latent410
11.2008,12.843355,layers.14_latent411
10.02547,8.022302,layers.14_latent412
11.728999,11.2123995,layers.14_latent413
9.713033,11.67455,layers.14_latent414
11.08255,8.479073,layers.14_latent415
10.081007,8.237631,layers.14_latent416
11.776676,10.576797,layers.14_latent417
9.1163435,10.897139,layers.14_latent420
8.974859,10.808532,layers.14_latent421
9.424216,10.972368,layers.14_latent424
8.944232,10.641961,layers.14_latent425
9.238182,12.405175,layers.14_latent426
10.632292,12.80689,layers.14_latent427
9.303656,10.088995,layers.14_latent428
11.744952,8.243616,layers.14_latent429
9.488979,11.10946,layers.14_latent430
9.217545,11.382587,layers.14_latent431
9.560696,9.919024,layers.14_latent432
8.855279,10.807386,layers.14_latent433
9.436284,10.952334,layers.14_latent435
11.67187,8.171484,layers.14_latent436
9.352513,10.993671,layers.14_latent438
11.38653,11.165026,layers.14_latent439
7.9918437,12.480833,layers.14_latent440
10.32544,9.897081,layers.14_latent441
10.205979,9.852161,layers.14_latent442
12.058951,10.234819,layers.14_latent443
10.725779,12.06664,layers.14_latent444
9.452293,11.931909,layers.14_latent445
8.74538,11.234747,layers.14_latent446
9.120954,11.048038,layers.14_latent448
8.906506,10.62477,layers.14_latent449
9.458526,10.363334,layers.14_latent450
9.702063,10.5381155,layers.14_latent451
8.95175,11.666977,layers.14_latent452
10.390615,9.020505,layers.14_latent453
9.609846,11.479451,layers.14_latent454
11.893486,12.325799,layers.14_latent457
12.270001,11.101632,layers.14_latent458
10.208637,7.8175225,layers.14_latent459
11.882321,12.643606,layers.14_latent461
8.355166,12.040306,layers.14_latent462
9.123345,9.783402,layers.14_latent463
9.390821,10.938403,layers.14_latent464
9.67233,7.896923,layers.14_latent465
