LatentID,mean_sim_knn,median_sim_knn,min_sim_knn,max_sim_knn
layers.14_latent59715,0.58156693,0.5439606,0.35893306,0.8372768
layers.14_latent48663,0.42826748,0.4133601,0.2536022,0.73331636
layers.14_latent24795,0.5843214,0.61452484,0.25329775,0.7979775
layers.14_latent12408,0.46726066,0.49402988,0.25066787,0.6061269
layers.14_latent52557,0.63571995,0.64848995,0.43486506,0.89887094
layers.14_latent55546,0.39960822,0.38787365,0.18224624,0.6785436
layers.14_latent42648,0.60348976,0.5895655,0.3576802,0.8233907
layers.14_latent53017,0.46583492,0.47542697,0.21755484,0.6131763
layers.14_latent22663,0.50409865,0.50983953,0.28580385,0.7785194
layers.14_latent60347,0.58772624,0.57299185,0.38443974,0.8101208
layers.14_latent55155,0.49204534,0.44202673,0.31594557,0.8020928
layers.14_latent22544,0.60553944,0.57672703,0.36433497,0.804019
layers.14_latent44431,0.58764416,0.5938355,0.29804307,0.73680997
layers.14_latent9609,0.49184307,0.51098806,0.2712016,0.66097414
layers.14_latent40041,0.49886903,0.50314915,0.29452556,0.7779434
layers.14_latent36877,0.49637786,0.46962622,0.33784807,0.70075905
layers.14_latent37626,0.51137006,0.52267337,0.32104486,0.71334463
layers.14_latent3383,0.63122445,0.65626407,0.4139502,0.8082354
layers.14_latent4677,0.44310945,0.4350499,0.18010893,0.8939104
layers.14_latent40300,0.5984278,0.5990136,0.26670387,0.7960907
layers.14_latent4719,0.4818446,0.51124406,0.24792564,0.5867355
layers.14_latent58430,0.4422318,0.44389707,0.19494162,0.7888539
layers.14_latent8363,0.5700785,0.5837846,0.32419148,0.7517948
layers.14_latent29962,0.42860848,0.4264496,0.22968668,0.6576884
layers.14_latent38560,0.6058619,0.5907942,0.42372537,0.8903575
layers.14_latent37315,0.55594885,0.5706517,0.29326013,0.7427889
layers.14_latent9947,0.5773253,0.59656584,0.35097724,0.804993
layers.14_latent60929,0.551067,0.5279486,0.3800793,0.82365054
layers.14_latent37511,0.5755662,0.55791616,0.40932864,0.8059328
layers.14_latent59128,0.49870968,0.4877547,0.3155488,0.65706104
layers.14_latent19290,0.503369,0.5202248,0.3090125,0.679752
layers.14_latent20345,0.5812772,0.5737786,0.30258715,0.7721306
layers.14_latent34788,0.47324386,0.424595,0.22017516,0.6954238
layers.14_latent21147,0.6338247,0.62845695,0.36333826,0.90547365
layers.14_latent36563,0.5285732,0.54498816,0.34014192,0.6856312
layers.14_latent50767,0.5989493,0.5623197,0.3453589,0.864254
layers.14_latent62117,0.39108473,0.37788627,0.097185194,0.7095748
layers.14_latent31800,0.46335667,0.47982913,0.2865008,0.75206214
layers.14_latent59237,0.39575738,0.40848586,0.2041529,0.5729737
layers.14_latent8050,0.4837013,0.49603897,0.3052047,0.68086904
