LatentID,mean_sim_knn,median_sim_knn,min_sim_knn,max_sim_knn
layers.14_latent59715,0.5684883,0.5398091,0.35893306,0.8372768
layers.14_latent48663,0.43441963,0.41361034,0.24149266,0.84220374
layers.14_latent24795,0.5591562,0.5873336,0.25329775,0.7979775
layers.14_latent12408,0.44711685,0.47682312,0.25066787,0.6061269
layers.14_latent52557,0.6310523,0.6429892,0.43486506,0.89887094
layers.14_latent55546,0.39255983,0.38873872,0.1753479,0.6785436
layers.14_latent42648,0.57688975,0.55669945,0.31698972,0.8233907
layers.14_latent53017,0.47619796,0.51108176,0.21755484,0.6131763
layers.14_latent22663,0.50968057,0.51050204,0.28580385,0.7785194
layers.14_latent60347,0.56262934,0.5708303,0.30160215,0.8101208
layers.14_latent55155,0.47493142,0.43766895,0.22013181,0.8020928
layers.14_latent22544,0.6052511,0.5878257,0.36433497,0.804019
layers.14_latent44431,0.56927156,0.59249973,0.2881178,0.73680997
layers.14_latent9609,0.47706336,0.4877209,0.23956579,0.66097414
layers.14_latent40041,0.481505,0.48051813,0.29452556,0.7779434
layers.14_latent36877,0.4878391,0.46598005,0.21479654,0.7411921
layers.14_latent37626,0.5163133,0.5398879,0.28112558,0.71334463
layers.14_latent3383,0.6225762,0.6490667,0.31463236,0.8082354
layers.14_latent4677,0.4203208,0.40226486,0.18010893,0.8939104
layers.14_latent40300,0.6063317,0.604406,0.26670387,0.7960907
layers.14_latent4719,0.4833254,0.50091684,0.24792564,0.73431724
layers.14_latent58430,0.45427427,0.4759446,0.19494162,0.7888539
layers.14_latent8363,0.5732209,0.583607,0.32419148,0.77438706
layers.14_latent29962,0.4234356,0.4327014,0.22968668,0.6576884
layers.14_latent38560,0.5773888,0.55279374,0.3216668,0.8903575
layers.14_latent37315,0.5551845,0.56682456,0.29326013,0.7437389
layers.14_latent9947,0.5584211,0.5714034,0.35097724,0.804993
layers.14_latent60929,0.56247634,0.5358715,0.3800793,0.82365054
layers.14_latent37511,0.575079,0.5584752,0.30841166,0.8409246
layers.14_latent59128,0.488398,0.4759363,0.3070797,0.65706104
layers.14_latent19290,0.49381718,0.5189987,0.30656672,0.679752
layers.14_latent20345,0.5844617,0.5717121,0.30258715,0.8019754
layers.14_latent34788,0.47203335,0.4752991,0.22017516,0.6954238
layers.14_latent21147,0.6342144,0.6448161,0.36333826,0.90547365
layers.14_latent36563,0.5329091,0.5335519,0.34014192,0.6951114
layers.14_latent50767,0.5859834,0.56660813,0.24196762,0.864254
layers.14_latent62117,0.38836217,0.35878393,0.097185194,0.7095748
layers.14_latent31800,0.4749485,0.48966295,0.26293138,0.75206214
layers.14_latent59237,0.3777357,0.39605647,0.2041529,0.5729737
layers.14_latent8050,0.45740426,0.47310048,0.19634193,0.68086904
