LatentID,mean_sim_knn,median_sim_knn,min_sim_knn,max_sim_knn
layers.14_latent59715,0.5567672,0.54458416,0.37658396,0.74274385
layers.14_latent48663,0.5292475,0.47980827,0.34646446,0.73331636
layers.14_latent24795,0.53236365,0.46821523,0.25329775,0.7979775
layers.14_latent12408,0.5003456,0.49615368,0.42637688,0.5511875
layers.14_latent52557,0.6140973,0.67420053,0.46992448,0.70507556
layers.14_latent55546,0.57622284,0.5580958,0.5157573,0.6785436
layers.14_latent42648,0.6177155,0.7039056,0.3576802,0.7790793
layers.14_latent53017,0.5101509,0.5671633,0.36621755,0.6131763
layers.14_latent22663,0.49736652,0.4344693,0.28580385,0.7785194
layers.14_latent60347,0.54660493,0.5596032,0.38782576,0.6396235
layers.14_latent55155,0.5004932,0.5234587,0.31594557,0.7444448
layers.14_latent22544,0.6660277,0.70647997,0.527388,0.804019
layers.14_latent44431,0.6205476,0.5951713,0.57944286,0.73680997
layers.14_latent9609,0.52243423,0.55121565,0.2712016,0.66097414
layers.14_latent40041,0.45467582,0.4072559,0.29452556,0.7779434
layers.14_latent36877,0.5167709,0.5208012,0.4418682,0.6436123
layers.14_latent37626,0.537796,0.50545883,0.3409394,0.7006224
layers.14_latent3383,0.607181,0.5932014,0.52714664,0.7147522
layers.14_latent4677,0.45229048,0.5261171,0.18010893,0.79524624
layers.14_latent40300,0.57089186,0.604406,0.26670387,0.7960907
layers.14_latent4719,0.47423077,0.50091684,0.35878193,0.57772005
layers.14_latent58430,0.52572453,0.524764,0.26297987,0.7044581
layers.14_latent8363,0.5669584,0.5747253,0.5145538,0.60714215
layers.14_latent29962,0.53972733,0.52712053,0.46856502,0.6576884
layers.14_latent38560,0.5576553,0.58899045,0.42701864,0.62687564
layers.14_latent37315,0.5945631,0.63471496,0.39388222,0.7004614
layers.14_latent9947,0.50898117,0.4844503,0.35097724,0.7005882
layers.14_latent60929,0.53899646,0.4982584,0.3800793,0.82365054
layers.14_latent37511,0.6295961,0.5831876,0.5383383,0.79272485
layers.14_latent59128,0.54042655,0.54562485,0.4231427,0.65706104
layers.14_latent19290,0.5377716,0.5697923,0.37186685,0.6549827
layers.14_latent20345,0.6675625,0.6472892,0.5717121,0.7721306
layers.14_latent34788,0.45350757,0.41082266,0.35999563,0.602188
layers.14_latent21147,0.5548108,0.56120807,0.4274588,0.67400366
layers.14_latent36563,0.5471193,0.5914548,0.43080378,0.6268165
layers.14_latent50767,0.59633636,0.4729763,0.4189346,0.8400512
layers.14_latent62117,0.5064923,0.49226248,0.2512721,0.7095748
layers.14_latent31800,0.51411456,0.48966295,0.2865008,0.75206214
layers.14_latent59237,0.37479216,0.3504327,0.272306,0.47578147
layers.14_latent8050,0.5003812,0.49125382,0.45749465,0.54700255
layers.14_latent10655,0.62365615,0.5509115,0.5210732,0.76842666
