LatentID,mean_sim_knn,median_sim_knn,min_sim_knn,max_sim_knn
layers.14_latent59715,0.59267044,0.54458416,0.35893306,0.8372768
layers.14_latent48663,0.45366833,0.4376527,0.29742572,0.73331636
layers.14_latent24795,0.56412655,0.5873336,0.25329775,0.7979775
layers.14_latent12408,0.4846136,0.49615368,0.26383168,0.59494543
layers.14_latent52557,0.63717705,0.6539906,0.46992448,0.74944836
layers.14_latent55546,0.40813407,0.38873872,0.18224624,0.6785436
layers.14_latent42648,0.6007605,0.58535,0.3576802,0.8156776
layers.14_latent53017,0.4734876,0.51600385,0.21755484,0.6131763
layers.14_latent22663,0.506436,0.4895934,0.28580385,0.7785194
layers.14_latent60347,0.5910909,0.5708303,0.38782576,0.7841574
layers.14_latent55155,0.46858376,0.43766895,0.31594557,0.7444448
layers.14_latent22544,0.61810786,0.58253354,0.47553414,0.804019
layers.14_latent44431,0.581258,0.59249973,0.29804307,0.73680997
layers.14_latent9609,0.48078138,0.5001726,0.2712016,0.66097414
layers.14_latent40041,0.49682873,0.5001179,0.29452556,0.7779434
layers.14_latent36877,0.50384724,0.4628901,0.3622109,0.70075905
layers.14_latent37626,0.51381123,0.50545883,0.3292033,0.71334463
layers.14_latent3383,0.64314896,0.6475725,0.5148264,0.8082354
layers.14_latent4677,0.46175164,0.47398877,0.18010893,0.8939104
layers.14_latent40300,0.6011229,0.60259235,0.26670387,0.7960907
layers.14_latent4719,0.4835276,0.5110191,0.2755181,0.57772005
layers.14_latent58430,0.43491608,0.44611815,0.19494162,0.7888539
layers.14_latent8363,0.5760997,0.5839621,0.32419148,0.7517948
layers.14_latent29962,0.43208063,0.4327014,0.22968668,0.6576884
layers.14_latent38560,0.5793485,0.5584977,0.42701864,0.7285664
layers.14_latent37315,0.5722492,0.57447886,0.29326013,0.7427889
layers.14_latent9947,0.5740083,0.59119886,0.35097724,0.804993
layers.14_latent60929,0.535205,0.51406646,0.3800793,0.82365054
layers.14_latent37511,0.57977647,0.5652288,0.40932864,0.8059328
layers.14_latent59128,0.49804452,0.4759363,0.3155488,0.65706104
layers.14_latent19290,0.524156,0.5480231,0.32624942,0.679752
layers.14_latent20345,0.58722085,0.57607424,0.30258715,0.7721306
layers.14_latent34788,0.4635229,0.43836737,0.22017516,0.6954238
layers.14_latent21147,0.60908395,0.61209786,0.36333826,0.90547365
layers.14_latent36563,0.5345701,0.5564245,0.34014192,0.6856312
layers.14_latent50767,0.5914678,0.56660813,0.34949657,0.8561891
layers.14_latent62117,0.42440745,0.40907598,0.097185194,0.7095748
layers.14_latent31800,0.47382894,0.48245323,0.2865008,0.75206214
layers.14_latent59237,0.38283747,0.4003178,0.2041529,0.5164799
layers.14_latent8050,0.48236275,0.5008241,0.3052047,0.5733187
layers.14_latent10655,0.6463072,0.62362117,0.49412483,0.76842666
