LatentID,mean_sim_knn,median_sim_knn,min_sim_knn,max_sim_knn
layers.14_latent59715,0.57508653,0.60593176,0.37658396,0.74274385
layers.14_latent48663,0.572699,0.6383163,0.34646446,0.73331636
layers.14_latent24795,0.6018872,0.7543864,0.25329775,0.7979775
layers.14_latent12408,0.48850253,0.49615368,0.42637688,0.5429771
layers.14_latent52557,0.5731461,0.54443824,0.46992448,0.70507556
layers.14_latent55546,0.60752875,0.5859469,0.5580958,0.6785436
layers.14_latent42648,0.7408946,0.7396991,0.7039056,0.7790793
layers.14_latent53017,0.45441568,0.4298662,0.36621755,0.5671633
layers.14_latent22663,0.47416985,0.4344693,0.4166539,0.5713863
layers.14_latent60347,0.5798082,0.5596032,0.54019773,0.6396235
layers.14_latent55155,0.5279497,0.5234587,0.31594557,0.7444448
layers.14_latent22544,0.7439434,0.721331,0.70647997,0.804019
layers.14_latent44431,0.59482086,0.5951713,0.57944286,0.6098484
layers.14_latent9609,0.57913285,0.55121565,0.52520883,0.66097414
layers.14_latent40041,0.3627266,0.35169318,0.29452556,0.44196105
layers.14_latent36877,0.49500546,0.5208012,0.4418682,0.522347
layers.14_latent37626,0.50132895,0.50545883,0.3409394,0.65758866
layers.14_latent3383,0.638519,0.61435866,0.58644617,0.7147522
layers.14_latent4677,0.6218531,0.54419607,0.5261171,0.79524624
layers.14_latent40300,0.6611164,0.6311385,0.55612004,0.7960907
layers.14_latent4719,0.43083897,0.42271596,0.35878193,0.5110191
layers.14_latent58430,0.46646678,0.52082205,0.26297987,0.61559844
layers.14_latent8363,0.5564552,0.54766953,0.5145538,0.60714215
layers.14_latent29962,0.50460917,0.47668034,0.46856502,0.5685821
layers.14_latent38560,0.5355627,0.55279374,0.42701864,0.62687564
layers.14_latent37315,0.6261573,0.63471496,0.5610414,0.6827155
layers.14_latent9947,0.56385714,0.64000607,0.35097724,0.7005882
layers.14_latent60929,0.4576911,0.48689508,0.3800793,0.5060989
layers.14_latent37511,0.5906893,0.5652288,0.5383383,0.66850084
layers.14_latent59128,0.4998156,0.44642806,0.4231427,0.62987614
layers.14_latent19290,0.58239955,0.57076484,0.521451,0.6549827
layers.14_latent20345,0.6651647,0.6472892,0.57607424,0.7721306
layers.14_latent34788,0.41817573,0.39881527,0.35999563,0.49571633
layers.14_latent21147,0.57816577,0.56120807,0.49928558,0.67400366
layers.14_latent36563,0.5698645,0.5914548,0.49132234,0.6268165
layers.14_latent50767,0.5773207,0.4729763,0.4189346,0.8400512
layers.14_latent62117,0.596309,0.58820415,0.491148,0.7095748
layers.14_latent31800,0.41953897,0.48245323,0.2865008,0.48966295
layers.14_latent59237,0.41707405,0.4253736,0.35006708,0.47578147
layers.14_latent8050,0.50070447,0.49125382,0.46385694,0.54700255
layers.14_latent10655,0.6820987,0.74232745,0.53554213,0.76842666
layers.14_latent23216,0.509604,0.56107056,0.33599824,0.6317432
layers.14_latent4955,0.43112507,0.40283906,0.3540491,0.5364871
layers.14_latent61494,0.3039535,0.2797735,0.25110242,0.38098457
layers.14_latent61930,0.49617454,0.4423438,0.4214421,0.6247376
layers.14_latent14649,0.4054645,0.4373872,0.2842101,0.49479616
layers.14_latent29640,0.6639932,0.68392825,0.58638406,0.72166723
layers.14_latent10684,0.59743506,0.5457834,0.5425043,0.70401746
layers.14_latent45988,0.47981563,0.48103982,0.42844066,0.5299664
layers.14_latent4502,0.69634634,0.71948516,0.6195617,0.74999225
layers.14_latent4293,0.4311861,0.440291,0.3389077,0.51435965
layers.14_latent53290,0.76030856,0.751267,0.745098,0.78456086
layers.14_latent14535,0.54345727,0.52402675,0.50485003,0.601495
layers.14_latent46387,0.6054689,0.603631,0.58424306,0.6285327
layers.14_latent17396,0.5210653,0.47192413,0.3153531,0.77591866
layers.14_latent57975,0.45191225,0.49554825,0.2818203,0.57836825
layers.14_latent38735,0.49061242,0.45447657,0.3636704,0.6536903
layers.14_latent8610,0.6769391,0.6268735,0.5912458,0.81269807
layers.14_latent37382,0.6218607,0.5999937,0.5611599,0.70442843
layers.14_latent19189,0.4357384,0.40103453,0.32920924,0.5769715
layers.14_latent25372,0.45438156,0.4663339,0.38922626,0.50758445
layers.14_latent21760,0.56963927,0.5506082,0.42285115,0.7354586
layers.14_latent59828,0.44668493,0.47341675,0.33586633,0.5307716
layers.14_latent6559,0.6020532,0.5874857,0.55127025,0.6674038
layers.14_latent59638,0.51903945,0.4885677,0.42647892,0.6420718
layers.14_latent34315,0.5875268,0.5801468,0.5410614,0.6413722
layers.14_latent15449,0.52185965,0.4991323,0.43781337,0.6286333
layers.14_latent34163,0.5283356,0.54813164,0.47343296,0.563442
layers.14_latent18840,0.43117836,0.49409658,0.3013404,0.49809813
layers.14_latent9197,0.51660657,0.49899417,0.4765092,0.57431626
layers.14_latent46404,0.5216217,0.54314464,0.45400304,0.5677175
layers.14_latent16933,0.5683502,0.57287157,0.5244763,0.60770273
layers.14_latent9621,0.59556574,0.66075087,0.41736126,0.70858514
layers.14_latent42801,0.5962939,0.5821299,0.5736856,0.6330663
