LatentID,mean_sim_knn,median_sim_knn,min_sim_knn,max_sim_knn
layers.14_latent16281,0.5351708,0.49751824,0.41649953,0.669841
layers.14_latent35595,0.29719526,0.33187172,0.14509612,0.41129526
layers.14_latent21569,0.46898413,0.47899294,0.32843003,0.6163602
layers.14_latent23330,0.5027498,0.5171486,0.31057134,0.63541853
layers.14_latent42202,0.47281513,0.4811293,0.39071497,0.53446984
layers.14_latent50579,0.5596036,0.5614401,0.4610214,0.77412796
layers.14_latent43960,0.49932727,0.5488087,0.29194337,0.6479332
layers.14_latent19042,0.541496,0.5688509,0.20369574,0.7481615
layers.14_latent9558,0.5741056,0.60810167,0.3520044,0.72917867
layers.14_latent35863,0.54272604,0.5400957,0.37754506,0.7183622
layers.14_latent46548,0.5193617,0.47906536,0.4188859,0.6645081
layers.14_latent63262,0.33858782,0.30584085,0.22243595,0.53686106
layers.14_latent14026,0.6571399,0.67886317,0.5187852,0.79006696
layers.14_latent42923,0.6107805,0.60003877,0.5270069,0.75452703
layers.14_latent6519,0.46862307,0.4446959,0.24991652,0.70561934
layers.14_latent8159,0.4000497,0.40692437,0.24111938,0.5101142
layers.14_latent63004,0.55190915,0.52288735,0.3981518,0.6894585
layers.14_latent21079,0.6031052,0.54591,0.35791165,0.88581836
layers.14_latent18014,0.5647522,0.5649313,0.34397644,0.7429739
layers.14_latent53863,0.5043562,0.5394718,0.3746994,0.619839
layers.14_latent48540,0.2839159,0.2799035,0.13831365,0.4616543
layers.14_latent41984,0.5791922,0.5948731,0.44496903,0.7798066
layers.14_latent61488,0.5548986,0.59712774,0.38116068,0.6736224
layers.14_latent27700,0.570073,0.51372886,0.35185134,0.81777
layers.14_latent59948,0.43070483,0.42043045,0.3133306,0.59569484
layers.14_latent25166,0.63187677,0.63185096,0.4675458,0.75500226
layers.14_latent63523,0.4212237,0.44162688,0.26628974,0.6299416
layers.14_latent40305,0.52869266,0.5779505,0.33493665,0.6630087
layers.14_latent60374,0.56492734,0.6040773,0.3356254,0.80598533
layers.14_latent42408,0.41297284,0.42700046,0.23400602,0.52525246
layers.14_latent2404,0.51417726,0.54616153,0.2812118,0.76720774
layers.14_latent6597,0.5844819,0.61337876,0.37010267,0.7499085
layers.14_latent46597,0.54327184,0.5404282,0.3964051,0.71234405
layers.14_latent36045,0.6227862,0.6368537,0.4446339,0.8009283
layers.14_latent49983,0.6017739,0.58907115,0.4475421,0.76325536
layers.14_latent28123,0.48257622,0.46091634,0.36451083,0.6744982
layers.14_latent11561,0.65864575,0.67730033,0.4165135,0.81444293
layers.14_latent61867,0.524879,0.56984735,0.34473407,0.633839
layers.14_latent53966,0.4080847,0.40401554,0.20841637,0.5573432
layers.14_latent22965,0.5165163,0.49536005,0.439027,0.6515469
layers.14_latent36322,0.546861,0.547315,0.4440242,0.6486956
layers.14_latent58391,0.5578059,0.5256978,0.37377116,0.8155645
layers.14_latent51398,0.56989586,0.5679219,0.30513102,0.7139898
layers.14_latent31917,0.44443393,0.43450326,0.26190972,0.81574965
layers.14_latent5812,0.551603,0.574353,0.37726378,0.67328316
layers.14_latent12921,0.44957066,0.44592232,0.34055573,0.5773845
layers.14_latent11175,0.6180719,0.6325787,0.4807813,0.7274995
layers.14_latent38404,0.613206,0.63245714,0.41390064,0.71082395
layers.14_latent27065,0.34945503,0.3454152,0.27991366,0.44986606
layers.14_latent3939,0.49760073,0.47836125,0.29816425,0.74250853
layers.14_latent23217,0.59842426,0.6126847,0.40344438,0.782478
layers.14_latent37168,0.48501545,0.40974104,0.3210762,0.7043531
layers.14_latent52469,0.5562688,0.5678625,0.34261,0.72340536
layers.14_latent41671,0.4783257,0.48847997,0.30101952,0.57270193
layers.14_latent20579,0.45339274,0.43976542,0.33202258,0.7184934
layers.14_latent9758,0.5446857,0.5793448,0.3435769,0.7070596
layers.14_latent9645,0.5597869,0.5487969,0.38937515,0.8230834
layers.14_latent21854,0.48903543,0.4911292,0.34876767,0.6391497
layers.14_latent29171,0.5245237,0.4870426,0.23286012,0.893882
layers.14_latent3478,0.5020627,0.4841969,0.4150531,0.6205462
layers.14_latent48816,0.5364788,0.51425815,0.34867334,0.7592979
layers.14_latent12224,0.59287894,0.59171754,0.38568646,0.74075925
layers.14_latent43824,0.4944253,0.5060921,0.1726278,0.9176931
layers.14_latent60672,0.55489546,0.52847594,0.36598638,0.72705305
layers.14_latent47984,0.4950243,0.48467195,0.33710957,0.62714946
layers.14_latent3653,0.51295036,0.5138749,0.23228085,0.6533201
layers.14_latent5388,0.47615904,0.3580162,0.26318744,0.80348897
layers.14_latent64202,0.24735506,0.20759493,0.06171082,0.6233009
layers.14_latent47554,0.5190026,0.45250458,0.37820798,0.73786145
layers.14_latent64848,0.6534085,0.6627586,0.49489403,0.79329115
layers.14_latent46420,0.47760692,0.49602503,0.17610106,0.7103198
layers.14_latent37253,0.65451044,0.6883646,0.39137718,0.87558895
layers.14_latent51408,0.38557428,0.41460168,0.07184925,0.62163204
layers.14_latent10329,0.58291715,0.6384562,0.27754593,0.80257255
layers.14_latent24843,0.5184126,0.49194333,0.30749857,0.7040457
layers.14_latent9547,0.30766216,0.2784952,0.17471531,0.49368143
layers.14_latent26823,0.44204068,0.44969085,0.32889134,0.510656
layers.14_latent8906,0.34726012,0.3590032,0.22335061,0.42022032
layers.14_latent6702,0.4180413,0.43091595,0.29200396,0.5080022
layers.14_latent15894,0.5289278,0.53185916,0.36407506,0.6765008
layers.14_latent15836,0.64192474,0.67510617,0.39274362,0.81774163
layers.14_latent28347,0.6132467,0.68496656,0.29397333,0.81328523
layers.14_latent35751,0.47919044,0.5249437,0.2196332,0.72359955
layers.14_latent64322,0.5141851,0.54269284,0.14952919,0.84637964
layers.14_latent57829,0.5091685,0.5236898,0.3756426,0.7086803
layers.14_latent55617,0.35540846,0.33506417,0.19161946,0.7796566
layers.14_latent60849,0.62436664,0.61161196,0.5056393,0.7268006
layers.14_latent4270,0.49772015,0.45428297,0.32442817,0.7294729
layers.14_latent25823,0.5547639,0.59843874,0.28271207,0.7569465
layers.14_latent33640,0.47053322,0.46815035,0.36457384,0.59458345
layers.14_latent62931,0.4457458,0.4229132,0.30328095,0.6746278
